"
01_Aquit_82441",,02_Square_85041,,DISTANCE = 7
pu,-1,pu,-1,18
lis,1,pu,-1,18
lis,1,lis,1,18
su,-2,lis,1,18
is,0,su,-2,18
,,is,0,17
"
","
","
","
","
"
"
06_Aquit_84623",,07_Square_84873,,DISTANCE = 27
Di,0,Di,0,0
Di,2,Di,2,0
cit,0,cit,0,0
do,0,do,0,0
do,1,do,1,0
do,-1,do,-1,0
do,-1,do,-1,0
mi,1,mi,1,0
mi,-1,mi,-1,0
mi,0,mi,0,0
mi,-1,mi,-1,0
mi,1,mi,1,0
nus,-1,nus,-1,0
nus,1,nus,1,0
im,-3,im,-3,0
im,1,im,1,0
ple,1,ple,1,0
te,-2,te,-2,0
te,2,te,2,0
hy,0,hy,0,0
dri,0,dri,0,0
dri,0,dri,0,0
dri,0,as,-2,1
as,-2,as,2,2
as,2,a,0,2
a,0,a,1,2
a,1,a,-1,2
a,-1,qua,0,2
qua,0,et,0,2
et,0,fer,1,2
fer,0,fer,1,3
fer,1,te,0,3
te,0,ar,0,3
ar,0,chi,0,3
chi,0,tri,0,3
tri,0,tri,1,3
tri,2,tri,1,4
cli,-3,cli,-3,4
cli,1,cli,1,4
cli,-1,cli,-1,4
cli,-1,cli,-1,4
cli,1,cli,1,4
no,0,no,0,4
no,-1,no,-1,4
dum,1,dum,0,5
gu,2,gu,2,5
gu,-1,gu,-1,5
stas,1,stas,-1,6
stas,2,stas,2,6
stas,-1,stas,-1,6
stas,1,stas,1,6
stas,-2,set,-2,6
set,-1,set,1,7
set,1,ar,-2,8
ar,-1,ar,1,9
ar,1,chi,-2,9
chi,-2,tri,2,9
ri,2,tri,-1,9
ri,-1,tri,1,9
ri,1,cli,-1,9
cli,-1,cli,1,9
cli,1,cli,-1,9
cli,-1,cli,-1,9
cli,-1,cli,1,9
cli,1,nus,0,9
nus,0,nus,-1,9
nus,-1,a,2,9
a,2,quam,0,9
quam,0,quam,-1,9
quam,-1,vi,1,9
